,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
2934,She's Out of My League,2010,,,6.1,970,12-Mar-2010,,32000000,17800000,49800000,49800000,Par.,en,7.775
2935,Leaving Las Vegas,,,,,,27-Oct-1995,4000000,31983777,17816223,49800000,45800000,,,
2936,Patriots Day,2016,,,6.9,1337,21-Dec-2016,,31900000,18700000,50600000,50600000,LGF,en,15.435
2937,Patriots Day,2016,,,6.9,1337,21-Dec-2016,,31900000,18700000,50600000,50600000,LGF,en,15.435
2938,Dressed to Kill,,,,,,01-Jan-1980,6500000,31899000,0,31899000,25399000,,,
2939,Patriots Day,,,,,,21-Dec-2016,40000000,31886361,20951628,52837989,12837989,,,
2940,Murder by Numbers,,,,,,19-Apr-2002,50000000,31874869,24768398,56643267,6643267,,,
2941,The Soloist,,,,,,24-Apr-2009,60000000,31853584,6668866,38522450,-21477550,,,
2942,Extremely Loud and Incredibly Close,,,,,,25-Dec-2011,40000000,31847881,23400000,55247881,15247881,,,
2943,Milk,,,,,,26-Nov-2008,20000000,31841299,25452072,57293371,37293371,,,
2944,The Shadow,,,,,,01-Jul-1994,40000000,31835600,0,31835600,-8164400,,,
2945,Push,,,,,,06-Feb-2009,38000000,31811527,17866874,49678401,11678401,,,
2946,Extremely Loud & Incredibly Close,2011,,,7,1231,24-Dec-2011,,31800000,23400000,55200000,55200000,WB,en,9.828
2947,Lake Placid,,,,,,16-Jul-1999,27000000,31770413,0,31770413,4770413,,,
2948,9,,,,,,09-Sep-2009,30000000,31749894,16810105,48559999,18559999,,,
2949,The Wedding Date,,,,,,04-Feb-2005,15000000,31726995,15448043,47175038,32175038,,,
2950,Transporter 3,,,,,,26-Nov-2008,40000000,31715062,75520530,107235592,67235592,,,
2951,Nobodyâs Fool,,,,,,02-Nov-2018,19000000,31713110,876383,32589493,13589493,,,
2952,Nobody's Fool,2018,,,5.9,96,02-Nov-2018,,31700000,1800000,33500000,33500000,Par.,en,12.276
2953,Quarantine,,,,,,10-Oct-2008,12000000,31691811,10232963,41924774,29924774,,,
2954,Paint Your Wagon,,,,,,15-Oct-2069,20000000,31678778,0,31678778,11678778,,,
2955,History of the World: Part I,,,,,,12-Jun-1981,11000000,31672000,0,31672000,20672000,,,
2956,August Rush,,,,,,21-Nov-2007,25000000,31664162,34217941,65882103,40882103,,,
2957,House at the End of the Street,,,,,,21-Sep-2012,6900000,31611916,12492066,44103982,37203982,,,
2958,Scott Pilgrim vs. The World,,,,,,13-Aug-2010,85000000,31611316,16445448,48056764,-36943236,,,
2959,Chappie,2015,,,6.7,4995,06-Mar-2015,,31600000,70500000,102100000,102100000,Sony,en,24.52
2960,From Hell,,,,,,19-Oct-2001,35000000,31598308,37114057,68712365,33712365,,,
2961,One Hour Photo,,,,,,21-Aug-2002,12000000,31597131,20626175,52223306,40223306,,,
2962,Chappie,,,,,,06-Mar-2015,49000000,31569268,73432788,105002056,56002056,,,
2963,United 93,,,,,,28-Apr-2006,18000000,31567134,46067901,77635035,59635035,,,
2964,Benji,,,,,,15-Nov-1974,500000,31559560,0,31559560,31059560,,,
2965,Anacondas: The Hunt for the Blood Orchid,,,,,,27-Aug-2004,25000000,31526393,38800000,70326393,45326393,,,
2966,"Good Night, and Good Luck",,,,,,07-Oct-2005,7000000,31501218,25085683,56586901,49586901,,,
2967,Scott Pilgrim vs. the World,2010,,,7.3,3882,13-Aug-2010,,31500000,16100000,47600000,47600000,Uni.,en,14.383
2968,A History of Violence,,,,,,23-Sep-2005,32000000,31493782,29984015,61477797,29477797,,,
2969,Nick and Norah's Infinite Playlist,,,,,,03-Oct-2008,10000000,31487293,2398724,33886017,23886017,,,
2970,Zack and Miri Make a Porno,,,,,,31-Oct-2008,24000000,31457946,5398360,36856306,12856306,,,
2971,Adrift,,,,,,01-Jun-2018,35000000,31445011,26452180,57897191,22897191,,,
2972,The Eye,,,,,,01-Feb-2008,12000000,31418697,26159068,57577765,45577765,,,
2973,Adrift,2018,,,7,1,01-Jul-2013,,31400000,28500000,59900000,59900000,STX,en,0.6
2974,Adrift,2018,,,6.7,1264,01-Jun-2018,,31400000,28500000,59900000,59900000,STX,en,16.786
2975,Chef,2014,,,7.1,1764,09-May-2014,,31400000,14500000,45900000,45900000,ORF,en,15.723
2976,Rob Roy,,,,,,07-Apr-1995,28000000,31390587,0,31390587,3390587,,,
2977,Leatherheads,,,,,,04-Apr-2008,58000000,31373938,9974690,41348628,-16651372,,,
2978,Monster's Ball,,,,,,26-Dec-2001,4000000,31273922,12492541,43766463,39766463,,,
2979,Charlie St. Cloud,,,,,,30-Jul-2010,44000000,31206263,17271821,48478084,4478084,,,
2980,Johnson Family Vacation,,,,,,07-Apr-2004,12000000,31203964,82795,31286759,19286759,,,
2981,The Mortal Instruments: City of Bones,2013,,,6.3,2915,21-Aug-2013,,31200000,64200000,95400000,95400000,SGem,en,16.484
2982,Charlie St. Cloud,2010,,,6.9,1398,01-May-2010,,31200000,17000000,48200000,48200000,Uni.,en,9.454
2983,The Debt,2011,,,6.6,403,31-Aug-2011,,31200000,14500000,45700000,45700000,Focus,en,12.697
2984,Gods of Egypt,2016,,,5.4,2353,26-Feb-2016,,31200000,119500000,150700000,150700000,LG/S,en,18.517
2985,The Debt,,,,,,31-Aug-2011,20000000,31177548,15426506,46604054,26604054,,,
2986,The Mortal Instruments: City of Bones,,,,,,21-Aug-2013,60000000,31165421,44800146,75965567,15965567,,,
2987,How High,,,,,,21-Dec-2001,12000000,31155435,66960,31222395,19222395,,,
2988,Gods of Egypt,,,,,,26-Feb-2016,140000000,31153464,107683292,138836756,-1163244,,,
2989,The Core,,,,,,28-Mar-2003,85000000,31111260,43021371,74132631,-10867369,,,
2990,Crimson Peak,2015,,,6.5,2986,16-Oct-2015,,31100000,43600000,74700000,74700000,Uni.,en,9.897
2991,Crimson Peak,2015,,,6.5,2986,16-Oct-2015,,31100000,43600000,74700000,74700000,Uni.,en,9.897
2992,Crimson Peak,,,,,,16-Oct-2015,55000000,31090320,43876534,74966854,19966854,,,
2993,High Anxiety,,,,,,23-Dec-1977,3400000,31063038,0,31063038,27663038,,,
2994,Random Hearts,,,,,,08-Oct-1999,64000000,31054924,32145076,63200000,-800000,,,
2995,The Pirates! Band of Misfits,,,,,,27-Apr-2012,55000000,31051126,105092479,136143605,81143605,,,
2996,Collateral Beauty,,,,,,16-Dec-2016,36000000,31016021,54293072,85309093,49309093,,,
2997,Morning Glory,,,,,,10-Nov-2010,40000000,31011732,28783338,59795070,19795070,,,
2998,Calendar Girls,,,,,,19-Dec-2003,10000000,31011616,62063000,93074616,83074616,,,
2999,Collateral Beauty,2016,,,7.2,3270,16-Dec-2016,,31000000,57500000,88500000,88500000,WB (NL),en,12.857
3000,Collateral Beauty,2016,,,7.2,3270,16-Dec-2016,,31000000,57500000,88500000,88500000,WB (NL),en,12.857
3001,Morning Glory,2010,,,6.3,717,10-Nov-2010,,31000000,29000000,60000000,60000000,Par.,en,10.595
3002,Get Rich or Die Tryin',,,,,,09-Nov-2005,40000000,30981850,15685105,46666955,6666955,,,
3003,Joyful Noise,,,,,,13-Jan-2012,27500000,30932113,225801,31157914,3657914,,,
3004,Joyful Noise,2012,,,6.4,70,13-Jan-2012,,30900000,226000,31126000,31126000,WB,en,6.787
3005,The Princess Bride,,,,,,25-Sep-1987,15000000,30857000,2628,30859628,15859628,,,
3006,Robin Hood,,,,,,21-Nov-2018,99000000,30824628,53922813,84747441,-14252559,,,
3007,Kidnap,,,,,,04-Aug-2017,21000000,30718107,4117973,34836080,13836080,,,
3008,3 Days to Kill,2014,,,6.1,1279,14-Feb-2014,,30700000,21900000,52600000,52600000,Rela.,en,11.011
3009,Delivery Man,2013,,,6.2,858,22-Nov-2013,,30700000,19300000,50000000,50000000,BV,en,7.962
3010,3 Days to Kill,,,,,,21-Feb-2014,28000000,30697999,8261901,38959900,10959900,,,
3011,The Legend of Bagger Vance,,,,,,03-Nov-2000,60000000,30695227,8540259,39235486,-20764514,,,
3012,Mirrors,,,,,,15-Aug-2008,35000000,30691439,46529157,77220596,42220596,,,
3013,Delivery Man,,,,,,22-Nov-2013,22000000,30659817,39877053,70536870,48536870,,,
3014,Dogma,,,,,,12-Nov-1999,10000000,30651422,13297443,43948865,33948865,,,
3015,Superstar,,,,,,08-Oct-1999,14000000,30628981,0,30628981,16628981,,,
3016,Slender Man,2018,,,4,712,10-Aug-2018,,30600000,21200000,51800000,51800000,SGem,en,16.999
3017,Deliver Us from Evil,,,,,,02-Jul-2014,30000000,30577122,57379496,87956618,57956618,,,
3018,Get on Up,,,,,,01-Aug-2014,30000000,30569935,2769933,33339868,3339868,,,
3019,Holmes & Watson,,,,,,25-Dec-2018,42000000,30568743,11357862,41926605,-73395,,,
3020,Slender Man,,,,,,10-Aug-2018,10000000,30564825,21158819,51723644,41723644,,,
3021,The Sitter,,,,,,09-Dec-2011,25000000,30542576,8206828,38749404,13749404,,,
3022,Open Water,,,,,,06-Aug-2004,500000,30500882,25017759,55518641,55018641,,,
3023,"Hail, Caesar!",2016,,,5.9,2328,05-Feb-2016,,30500000,33100000,63600000,63600000,Uni.,en,12.312
3024,From Here to Eternity,,,,,,05-Aug-2053,1650000,30500000,0,30500000,28850000,,,
3025,Underworld: Blood Wars,2017,,,5.5,2318,06-Jan-2017,,30400000,50700000,81100000,81100000,SGem,en,18.976
3026,The Sitter,2011,,,5.4,472,09-Dec-2011,,30400000,4500000,34900000,34900000,Fox,en,11.571
3027,Dragon Ball Super: Broly,,,,,,16-Jan-2019,8500000,30376755,92371000,122747755,114247755,,,
3028,Sgt. Bilko,,,,,,29-Mar-1996,39000000,30356589,7600000,37956589,-1043411,,,
3029,Underworld: Blood Wars,,,,,,06-Jan-2017,35000000,30353973,50855249,81209222,46209222,,,
3030,A Night at the Roxbury,,,,,,02-Oct-1998,17000000,30331165,0,30331165,13331165,,,
3031,Queen of the Damned,,,,,,22-Feb-2002,35000000,30307804,0,30307804,-4692196,,,
3032,The Banger Sisters,,,,,,20-Sep-2002,10000000,30306281,7760937,38067218,28067218,,,
3033,Assassins,,,,,,06-Oct-1995,50000000,30306268,53000000,83306268,33306268,,,
3034,The Mountain Between Us,2017,,,6.5,1235,06-Oct-2017,,30300000,32500000,62800000,62800000,Fox,en,13.873
3035,Honey,,,,,,05-Dec-2003,18000000,30272254,32374509,62646763,44646763,,,
3036,Halloween: Resurrection,,,,,,12-Jul-2002,15000000,30259652,7400000,37659652,22659652,,,
3037,Life,,,,,,24-Mar-2017,58000000,30234022,70695644,100929666,42929666,,,
3038,The Great Debaters,,,,,,25-Dec-2007,15000000,30226144,35149,30261293,15261293,,,
3039,How Do You Know?,,,,,,17-Dec-2010,120000000,30212620,19415557,49628177,-70371823,,,
3040,Hollywood Homicide,,,,,,13-Jun-2003,75000000,30207785,20201968,50409753,-24590247,,,
3041,Long Shot,,,,,,03-May-2019,40000000,30202860,13508171,43711031,3711031,,,
3042,How Do You Know,2010,,,5.1,453,17-Dec-2010,,30200000,18500000,48700000,48700000,Sony,en,6.753
3043,The Art of War,,,,,,25-Aug-2000,40000000,30199105,0,30199105,-9800895,,,
3044,Bad Company,,,,,,07-Jun-2002,70000000,30157016,39000000,69157016,-842984,,,
3045,When the Game Stands Tall,,,,,,22-Aug-2014,15000000,30127963,10949,30138912,15138912,,,
3046,Ghost Ship,,,,,,25-Oct-2002,20000000,30113491,38236393,68349884,48349884,,,
3047,Space Chimps,,,,,,18-Jul-2008,37000000,30105968,36923988,67029956,30029956,,,
3048,Daybreakers,,,,,,08-Jan-2010,20000000,30101577,21343926,51445503,31445503,,,
3049,When the Game Stands Tall,2014,,,6.6,185,22-Aug-2014,,30100000,,30100000,30100000,TriS,en,6.08
3050,Snatch,,,,,,08-Dec-2000,10000000,30093107,53500000,83593107,73593107,,,
3051,Elizabeth,,,,,,06-Nov-1998,25000000,30082699,52067943,82150642,57150642,,,
3052,"Hail, Caesar!",,,,,,05-Feb-2016,22000000,30080225,34080455,64160680,42160680,,,
3053,Dragonfly,,,,,,22-Feb-2002,60000000,30063805,0,30063805,-29936195,,,
3054,The Bank Job,,,,,,07-Mar-2008,20000000,30060660,36082345,66143005,46143005,,,
3055,Jay and Silent Bob Strike Back,,,,,,24-Aug-2001,22000000,30059386,3703014,33762400,11762400,,,
3056,Road House,,,,,,19-May-1989,10000000,30050028,0,30050028,20050028,,,
3057,"I, Tonya",,,,,,08-Dec-2017,11000000,30014534,23782875,53797409,42797409,,,
3058,Spartacus,,,,,,07-Oct-2060,12000000,30000000,30000000,60000000,48000000,,,
3059,"I, Tonya",2017,,,7.5,2904,08-Dec-2017,,30000000,23900000,53900000,53900000,Neon,en,15.407
3060,"I, Tonya",2017,,,7.5,2904,08-Dec-2017,,30000000,23900000,53900000,53900000,Neon,en,15.407
3061,Clash of the Titans,,,,,,12-Jun-1981,15000000,30000000,14400000,44400000,29400000,,,
3062,Quo Vadis?,,,,,,23-Feb-2051,8250000,30000000,28513,30028513,21778513,,,
3063,The Iron Lady,2011,,,6.4,899,30-Dec-2011,,30000000,84900000,114900000,114900000,Wein.,en,8.987
3064,The Iron Lady,,,,,,13-Jan-2012,14000000,29959436,85632668,115592104,101592104,,,
3065,Double Take,,,,,,12-Jan-2001,24000000,29823162,0,29823162,5823162,,,
3066,Grudge Match,,,,,,25-Dec-2013,40000000,29807260,40000000,69807260,29807260,,,
3067,Grudge Match,2013,,,6,711,25-Dec-2013,,29800000,15100000,44900000,44900000,WB,en,7.918
3068,Hostiles,2017,,,6.7,1056,22-Dec-2017,,29800000,,29800000,29800000,ENTMP,en,15.937
3069,Hostiles,2017,,,6.7,1056,22-Dec-2017,,29800000,,29800000,29800000,ENTMP,en,15.937
3070,Wild Things,,,,,,20-Mar-1998,20000000,29795299,25781400,55576699,35576699,,,
3071,Teen Titans Go! To The Movies,,,,,,27-Jul-2018,10000000,29790236,21830357,51620593,41620593,,,
3072,Riding in Cars with Boys,,,,,,19-Oct-2001,47000000,29781453,0,29781453,-17218547,,,
3073,Mystery Men,,,,,,06-Aug-1999,68000000,29762011,3700000,33462011,-34537989,,,
3074,When the Bough Breaks,,,,,,09-Sep-2016,10000000,29747603,1020846,30768449,20768449,,,
3075,The Hate U Give,,,,,,05-Oct-2018,23000000,29719483,5348182,35067665,12067665,,,
3076,The Hate U Give,2018,,,8.2,636,19-Oct-2018,,29700000,5200000,34900000,34900000,Fox,en,19.135
3077,When the Bough Breaks,2016,,,5.3,150,09-Sep-2016,,29700000,911000,30611000,30611000,SGem,en,8.062
3078,Did You Hear About the Morgans?,,,,,,18-Dec-2009,58000000,29580087,50900479,80480566,22480566,,,
3079,"Tora, Tora, Tora",,,,,,23-Sep-2070,25000000,29548291,0,29548291,4548291,,,
3080,The Fog,,,,,,14-Oct-2005,18000000,29511112,7537414,37048526,19048526,,,
3081,A Walk in the Woods,2015,,,5.9,402,02-Sep-2015,,29500000,8000000,37500000,37500000,BG,en,6.935
3082,Twilight Zone: The Movie,,,,,,24-Jun-1983,10000000,29500000,0,29500000,19500000,,,
3083,A Walk in the Woods,,,,,,02-Sep-2015,8000000,29499394,7619964,37119358,29119358,,,
3084,Bless the Child,,,,,,11-Aug-2000,40000000,29374178,11061516,40435694,435694,,,
3085,Spice World,,,,,,23-Jan-1998,25000000,29342592,26700000,56042592,31042592,,,
3086,Confessions of a Teenage Drama Queen,,,,,,20-Feb-2004,15000000,29331068,3787786,33118854,18118854,,,
3087,A Low Down Dirty Shame,,,,,,23-Nov-1994,10000000,29317886,0,29317886,19317886,,,
3088,The Rose,,,,,,07-Nov-1979,8500000,29200000,0,29200000,20700000,,,
3089,Nanny McPhee and the Big Bang,,,,,,20-Aug-2010,35000000,29197642,68602223,97799865,62799865,,,
3090,The Object of my Affection,,,,,,17-Apr-1998,15000000,29145924,0,29145924,14145924,,,
3091,Priest,,,,,,13-May-2011,60000000,29136626,55017400,84154026,24154026,,,
3092,The Mechanic,,,,,,28-Jan-2011,42500000,29121498,47225895,76347393,33847393,,,
3093,Priest,2011,,,5.5,1157,13-May-2011,,29100000,49200000,78300000,78300000,SGem,en,15.318
3094,The Mechanic,2011,,,6.3,1676,28-Jan-2011,,29100000,47000000,76100000,76100000,CBS,en,14.387
3095,Double Impact,,,,,,09-Aug-1991,16000000,29090445,0,29090445,13090445,,,
3096,Rent,,,,,,23-Nov-2005,40000000,29077547,2593073,31670620,-8329380,,,
3097,The Stepfather,,,,,,16-Oct-2009,20000000,29062561,165000,29227561,9227561,,,
3098,Chimpanzee,2012,,,7.2,61,20-Apr-2012,,29000000,5900000,34900000,34900000,BV,en,4.5
3099,The New Guy,,,,,,10-May-2002,13000000,28972187,0,28972187,15972187,,,
3100,The Insider,,,,,,05-Nov-1999,68000000,28965197,31300000,60265197,-7734803,,,
3101,The Watcher,,,,,,08-Sep-2000,33000000,28946615,18321214,47267829,14267829,,,
3102,One Direction: This is Us,,,,,,30-Aug-2013,10000000,28873374,39668412,68541786,58541786,,,
3103,"Girl, Interrupted",,,,,,21-Dec-1999,24000000,28871190,0,28871190,4871190,,,
3104,Zoolander 2,,,,,,12-Feb-2016,50000000,28848693,26500000,55348693,5348693,,,
3105,Draft Day,,,,,,11-Apr-2014,25000000,28842237,1005243,29847480,4847480,,,
3106,Kick-Ass 2,2013,,,6.4,3785,16-Aug-2013,,28800000,32000000,60800000,60800000,Uni.,en,14.793
3107,Molly's Game,2017,,,7.1,1724,25-Dec-2017,,28800000,30500000,59300000,59300000,STX,en,14.64
3108,Molly's Game,2017,,,7.1,1724,25-Dec-2017,,28800000,30500000,59300000,59300000,STX,en,14.64
3109,Zoolander 2,2016,,,4.7,1374,12-Feb-2016,,28800000,27900000,56700000,56700000,Par.,en,12.997
3110,The Five-Year Engagement,2012,,,5.8,742,27-Apr-2012,,28800000,25100000,53900000,53900000,Uni.,en,10.729
3111,Draft Day,2014,,,6.6,460,11-Apr-2014,,28800000,620000,29420000,29420000,LG/S,en,10.581
3112,Kick-Ass 2,,,,,,16-Aug-2013,28000000,28795985,34333924,63129909,35129909,,,
3113,Point Break,,,,,,25-Dec-2015,100000000,28782481,97922110,126704591,26704591,,,
3114,Mollyâs Game,,,,,,25-Dec-2017,30000000,28780744,24515680,53296424,23296424,,,
3115,Capote,,,,,,30-Sep-2005,7000000,28750530,21173549,49924079,42924079,,,
3116,Baby Boy,,,,,,27-Jun-2001,16000000,28734552,0,28734552,12734552,,,
3117,The Five-Year Engagement,,,,,,27-Apr-2012,30000000,28700285,32923534,61623819,31623819,,,
3118,Untraceable,,,,,,25-Jan-2008,35000000,28687835,23962116,52649951,17649951,,,
3119,Father's Day,,,,,,09-May-1997,85000000,28681080,7000000,35681080,-49318920,,,
3120,Defiance,,,,,,16-Jan-2009,50000000,28644813,24342941,52987754,2987754,,,
3121,28 Weeks Later,,,,,,11-May-2007,15000000,28638916,35593798,64232714,49232714,,,
3122,Swimfan,,,,,,06-Sep-2002,10000000,28564995,5519233,34084228,24084228,,,
3123,We Own the Night,,,,,,12-Oct-2007,28000000,28563179,26744678,55307857,27307857,,,
3124,Brothers,,,,,,04-Dec-2009,26000000,28544157,16499713,45043870,19043870,,,
3125,The Out-of-Towners,,,,,,02-Apr-1999,40000000,28544120,0,28544120,-11455880,,,
3126,Employee of the Month,,,,,,06-Oct-2006,10000000,28444855,9920000,38364855,28364855,,,
3127,The Crocodile Hunter: Collision Course,,,,,,12-Jul-2002,12500000,28436931,5000000,33436931,20936931,,,
3128,Garfield: A Tail of Two Kitties,,,,,,16-Jun-2006,60000000,28426747,119558626,147985373,87985373,,,
3129,The Nut Job 2: Nutty by Nature,2017,,,5.7,227,11-Aug-2017,,28400000,36800000,65200000,65200000,ORF,en,8.975
3130,The Nut Job 2: Nutty by Nature,,,,,,11-Aug-2017,40000000,28370522,29067867,57438389,17438389,,,
3131,A Man for All Seasons,,,,,,12-Dec-2066,3900000,28350000,0,28350000,24450000,,,
3132,After the Sunset,,,,,,12-Nov-2004,57000000,28328132,10000982,38329114,-18670886,,,
3133,Predator 2,,,,,,21-Nov-1990,35000000,28317513,26450905,54768418,19768418,,,
3134,Taxi Driver,,,,,,08-Feb-1976,1000000,28262574,53637,28316211,27316211,,,
3135,The Shawshank Redemption,,,,,,23-Sep-1994,25000000,28241469,65623,28307092,3307092,,,
3136,Doom,,,,,,21-Oct-2005,70000000,28212337,30544841,58757178,-11242822,,,
3137,"20,000 Leagues Under the Sea",,,,,,23-Dec-2054,5000000,28200000,0,28200000,23200000,,,
3138,The Prince & Me,,,,,,02-Apr-2004,30000000,28165882,1190875,29356757,-643243,,,
3139,The Ant Bully,,,,,,28-Jul-2006,45000000,28142535,21468363,49610898,4610898,,,
3140,Abduction,2011,,,5.8,1791,23-Sep-2011,,28100000,54000000,82100000,82100000,LGF,en,17.69
3141,Abduction,,,,,,23-Sep-2011,35000000,28087155,58561204,86648359,51648359,,,
3142,Grosse Pointe Blank,,,,,,11-Apr-1997,15000000,28084357,2986055,31070412,16070412,,,
3143,Happy Death Day 2U,,,,,,13-Feb-2019,9000000,28051045,36128450,64179495,55179495,,,
3144,Zathura,,,,,,11-Nov-2005,65000000,28045540,30500000,58545540,-6454460,,,
3145,Johnny English,,,,,,18-Jul-2003,45000000,28013509,135113167,163126676,118126676,,,
3146,Loaded Weapon 1,,,,,,05-Feb-1993,13000000,27979399,0,27979399,14979399,,,
3147,Beastly,2011,,,6.1,1748,04-Mar-2011,,27900000,15300000,43200000,43200000,CBS,en,10.136
3148,Beastly,,,,,,04-Mar-2011,17000000,27865571,10162659,38028230,21028230,,,
3149,Moonlight,,,,,,21-Oct-2016,1500000,27854931,37390581,65245512,63745512,,,
3150,Crank,,,,,,01-Sep-2006,12000000,27838408,16086515,43924923,31924923,,,
3151,Rings,2017,,,4.9,1785,03-Feb-2017,,27800000,55300000,83100000,83100000,Par.,en,13.53
3152,The Switch,2010,,,6.1,1008,20-Aug-2010,,27800000,22100000,49900000,49900000,Mira.,en,7.745
3153,Logan Lucky,2017,,,6.7,1627,18-Aug-2017,,27800000,20700000,48500000,48500000,BST,en,15.743
3154,The Majestic,,,,,,21-Dec-2001,72000000,27796042,9510292,37306334,-34693666,,,
3155,Rings,,,,,,03-Feb-2017,25000000,27793018,55124265,82917283,57917283,,,
3156,Logan Lucky,,,,,,18-Aug-2017,29000000,27778642,16485629,44264271,15264271,,,
3157,The Switch,,,,,,20-Aug-2010,19000000,27758465,22100000,49858465,30858465,,,
3158,Sinister 2,,,,,,21-Aug-2015,10000000,27740955,26363270,54104225,44104225,,,
3159,Menace II Society,,,,,,26-May-1993,3500000,27731527,0,27731527,24231527,,,
3160,Sinister 2,2015,,,5.8,1142,21-Aug-2015,,27700000,25100000,52800000,52800000,Focus,en,9.916
3161,Oculus,2014,,,6.4,1747,03-Apr-2014,,27700000,16300000,44000000,44000000,Rela.,en,10.841
3162,Oculus,,,,,,11-Apr-2014,5000000,27695246,16420250,44115496,39115496,,,
3163,Saw VI,,,,,,23-Oct-2009,11000000,27693292,42059110,69752402,58752402,,,
3164,The Island of Dr. Moreau,,,,,,23-Aug-1996,40000000,27682712,0,27682712,-12317288,,,
3165,Hannibal Rising,,,,,,09-Feb-2007,50000000,27669725,52913586,80583311,30583311,,,
